x,y,z,pitch,yaw,ok,err
0.25,-0.2,0.16,0.45,-0.3,1,9.330720300450823e-05
0.25,-0.2,0.16,0.45,0.0,1,9.873377131796556e-05
0.25,-0.2,0.16,0.45,0.3,1,8.342127447077719e-05
0.25,-0.2,0.16,0.45,0.6,1,7.776775050505104e-05
0.25,-0.2,0.16,0.675,-0.6,1,5.851088291290392e-05
0.25,-0.2,0.16,0.675,-0.3,1,6.341794077075907e-05
0.25,-0.2,0.16,0.675,0.0,1,7.965200069064504e-05
0.25,-0.2,0.16,0.675,0.3,1,7.291484946576786e-05
0.25,-0.2,0.16,0.675,0.6,1,7.536229745462864e-05
0.25,-0.2,0.16,0.9,-0.6,1,7.036749703461987e-05
0.25,-0.2,0.16,0.9,-0.3,1,8.141437076995034e-05
0.25,-0.2,0.16,0.9,0.0,1,6.31445856050597e-05
0.25,-0.2,0.16,0.9,0.3,1,8.34446519371714e-05
0.25,-0.2,0.16,0.9,0.6,1,8.090049216740026e-05
0.25,-0.2,0.16,1.2,-0.6,1,8.843591357062697e-05
0.25,-0.2,0.16,1.2,-0.3,1,5.472772444402282e-05
0.25,-0.2,0.16,1.2,0.0,1,5.395265088902672e-05
0.25,-0.2,0.16,1.2,0.3,1,8.450047515448978e-05
0.25,-0.2,0.16,1.2,0.6,1,8.714509828306016e-05
0.25,-0.2,0.16,1.57,-0.6,1,5.71989497960114e-05
0.25,-0.2,0.16,1.57,-0.3,1,7.701947781755804e-05
0.25,-0.2,0.16,1.57,0.0,1,8.076134655239732e-05
0.25,-0.2,0.16,1.57,0.3,1,8.557681430527735e-05
0.25,-0.2,0.16,1.57,0.6,1,6.021393269484038e-05
0.25,-0.2,0.2,0.0,-0.6,1,7.652545348193979e-05
0.25,-0.2,0.2,0.0,-0.3,1,8.992223587605705e-05
0.25,-0.2,0.2,0.0,0.0,1,8.907868214186895e-05
0.25,-0.2,0.2,0.0,0.3,0,0.003535380437455303
0.25,-0.2,0.2,0.0,0.6,0,0.1411037878798193
0.25,-0.2,0.2,0.225,-0.6,1,8.203044397770062e-05
0.25,-0.2,0.2,0.225,-0.3,1,6.136415303810979e-05
0.25,-0.2,0.2,0.225,0.0,1,5.911842813267946e-05
0.25,-0.2,0.2,0.225,0.3,1,8.924416606602466e-05
0.25,-0.2,0.2,0.225,0.6,0,0.20775876528782883
